homograph	wordid	sentence	start	end	orig_idx
invite	invite_vrb	They then invite him to their wedding reception that evening, which invitation he accepts.	10.0	16.0	6647.0
invite	invite_vrb	Bloc Party would also invite Sluts of Trust to support them on a European tour later that year.	22.0	28.0	6656.0
invite	invite_vrb	Perperna then proceeded to invite Sertorius to a feast to celebrate a supposed victory.	27.0	33.0	6626.0
invite	invite_vrb	It is this world that I invite you to read and look to still dream a little, together.	24.0	30.0	6646.0
invite	invite_vrb	The students invite their parents, other relatives and friends to come to the ball with them.	13.0	19.0	6595.0
invite	invite_vrb	Instead, they opted to create a new league, the NHL, and did not invite Livingstone to join them.	65.0	71.0	6620.0
invite	invite_vrb	Invite public officials, local civic leaders, American Legion dignitaries, and members of the sponsoring Post o attend.	0.0	6.0	6602.0
invite	invite_nou	The group's board was invited to the invite-only launch of the kits and logo to be used in MLS.	37.0	43.0	6652.0
invite	invite_nou	This victory earned Scherr an invite to the 2013 Arnold Strongman Classic.	30.0	36.0	6628.0
invite	invite_vrb	Since then, people have attached an image of Cheo-yong to their gates to dispel evil spirits and invite auspicious energies.	97.0	103.0	6607.0
invite	invite_vrb	Ansari frequently performed at the Upright Citizens Brigade Theatre, as well as weekly shows such as Invite Them Up.	101.0	107.0	6674.0
invite	invite_vrb	Morgan had admitted that he wanted the job permanently, but the club opted to invite applications from experienced candidates.	78.0	84.0	6619.0
invite	invite_vrb	Lastly, players can form guilds and invite other players to join.	36.0	42.0	6649.0
invite	invite_nou	The deal included an invite to major league spring training.	21.0	27.0	12175.0
invite	invite_vrb	The many wineries and Strausswirtschaften invite visitors to come and enjoy the wine.	42.0	48.0	6683.0
invite	invite_vrb	In another attempt to help Doris, the gang persuades some cheerleaders to invite them all to an outdoor party.	74.0	80.0	12178.0
invite	invite_nou	Despite the success, the Rams didn't get a bowl invite that season.	48.0	54.0	6605.0
invite	invite_vrb	The sailors invite the ladies for a soda, but soon realize that they only have enough money for three people.	12.0	18.0	12174.0
invite	invite_vrb	After Secretariat's loss in the Whitney, the field was expanded to invite top horses from across the country.	67.0	73.0	6650.0
invite	invite_vrb	The mall management, with their media contacts, were able to invite newspapers, radio, and television to cover the event.	61.0	67.0	6633.0
invite	invite_vrb	He would invite any-passengers by especially Brahmins for grand feast at his home.	9.0	15.0	12181.0
invite	invite_vrb	"They invite Rosie to be the ""best man"" at their wedding."	5.0	11.0	6680.0
invite	invite_nou	Aust wins invite to next year's ASEAN summit.	10.0	16.0	6639.0
invite	invite_vrb	"Shiva smiled and said to him: ""I cannot come, but you can invite my son Ganesha."	58.0	64.0	6596.0
invite	invite_vrb	To prove them wrong, Phil says he will ask Alex to invite her boyfriend to the house.	51.0	57.0	6664.0
invite	invite_nou	No invite had been extended to either them or Liverpool who had finished bottom of the first division.	3.0	9.0	6604.0
invite	invite_vrb	The Discovery of Grounded Theory was meant to invite and motivate people to use the newly developed methodology.	46.0	52.0	6640.0
invite	invite_nou	They also host an annual invite at the Upper Valley Aquatic Center in nearby White River Junction VT.	25.0	31.0	6621.0
invite	invite_vrb	The New Kadampa Tradition cannot buy qualified Teachers, nor can we invite them from outside.	68.0	74.0	6622.0
invite	invite_nou	On May 9, 2007, Lansdale Catholic administrators announced that they have accepted an invite to the Philadelphia Catholic League.	86.0	92.0	6634.0
invite	invite_vrb	Jerry and Kramer switch apartments, and Kramer takes the opportunity to invite Newman over.	72.0	78.0	6623.0
invite	invite_vrb	Lulu wanted to invite the parents of the national under-17 players to verify their sons' ages.	15.0	21.0	6641.0
invite	invite_vrb	In theory, the club could simply decline to invite a qualified player.	44.0	50.0	6601.0
invite	invite_vrb	It is the only competition to invite entries in all official languages.	30.0	36.0	6613.0
invite	invite_vrb	Was it hard to decide who to invite and who not to invite			
invite	invite_vrb	The selection panel then invite the applicants to interviews which are held over two weeks.	25.0	31.0	6610.0
invite	invite_nou	Chambers did not impress the Eagles personnel enough to receive an invite to the Eagles mini-camp.	67.0	73.0	6625.0
invite	invite_vrb	Glanville attempts to invite Vanderpump to her housewarming, but Vanderpump makes it clear they have a long way to go.	22.0	28.0	6677.0
invite	invite_vrb	Saddened, but grateful for knowing their friend's fate, the young people invite the companions back to their ville, Quindley.	73.0	79.0	6617.0
invite	invite_vrb	"American Express sent letters to some previous customers: ""We invite you to apply for the Optima Card from American Express."	62.0	68.0	6614.0
invite	invite_nou	Due to limited availability, the phone could initially only be purchased through an invite system.	84.0	90.0	6662.0
invite	invite_nou	Wishart returned to music in 2007, accepting an invite from Don Falcone of Spirits Burning.	48.0	54.0	6598.0
invite	invite_vrb	It was the first popular centre to invite teachers, gurus, monks, researchers, etc.	35.0	41.0	6624.0
invite	invite_vrb	Dion's disapproval of the young Dionysius's lavishly dissolute lifestyle compelled him to invite his teacher Plato to visit Syracuse.	90.0	96.0	6668.0
invite	invite_vrb	"His last line of operations was to invite young boys and scholars attending school to his rooms to supper."""	35.0	41.0	6644.0
invite	invite_vrb	Unstaffed HEETs (with emergency exits), a generally unsupervised environment, might invite rampant evasions.	84.0	90.0	6599.0
invite	invite_vrb	The event was not sanctioned by the International Amateur Athletics Federation due to the organizers' refusal to invite Israel.	113.0	119.0	6630.0
invite	invite_vrb	Women broadcasters invite women to take part in conversations about local issues.	19.0	25.0	6606.0
invite	invite_vrb	The Midsomer Worthy Writer's Circle, a group of amateur novelists, invite celebrated author Max Jennings along as a special guest.	67.0	73.0	6681.0
invite	invite_vrb	Tangie kicks her suitor out after he asks her to invite Nyla for a threesome.	49.0	55.0	6645.0
invite	invite_vrb	He was first to invite noted architect, Le Corbusier to India, who later did many works in India.	16.0	22.0	6616.0
