homograph	wordid	sentence	start	end	orig_idx
bass	bass	Lipp wrote that this track did an excellent job of showcasing Abrams' skills on the double bass.	91.0	95.0	1428.0
bass	bass_corp	The lake is regularly stocked with catfish, bass, bluegill, and trout during the winter months.	44.0	48.0	1346.0
bass	bass	He can play drums, bass and keyboards.	19.0	23.0	11595.0
bass	bass	Little originally played piano, but switched to bass after serving in the military.	48.0	52.0	1363.0
bass	bass	Rob Such (Twelfth Gate, ex-Syris) joined the fold on bass in the summer of 2011 thus rounding out the line-up.	53.0	57.0	1396.0
bass	bass	ASCII tab files usually have the file extension .tab, .btab (for bass guitar) or .txt.	65.0	69.0	1411.0
bass	bass	The remix replaced a light and breezy rhythm with a hard-pounding beat coupled with reggae-style bass.	97.0	101.0	1422.0
bass	bass	His replacement was former Blodwyn Pig bass player Andy Pyle.	39.0	43.0	11594.0
bass	bass	At school in South Yorkshire, he learnt to play guitar and bass guitar.	59.0	63.0	1383.0
bass	bass_corp	The ship is named Sea Bass, after the Japanese sea bass a fish native to local rivers and estuaries.	22.0	26.0	1385.0
bass	bass	It is one of the few Deep Purple songs to feature Ian Paice using double bass drums.	73.0	77.0	1398.0
bass	bass	The bass is played by Ron Carter, the guitar by Hugh McCracken and the drums by Ray Lucas.	4.0	8.0	1393.0
bass	bass	For ballads, he played walking bass lines on the bass pedals.	31.0	35.0	1365.0
bass	bass	Concerto for Free Bass Accordion was written for the solo Free-bass system accordion by John Serry, Sr.	18.0	22.0	1380.0
bass	bass	In addition to the remix, Sykes and Murray re-recorded the lead guitar and bass parts.	75.0	79.0	1421.0
bass	bass	It was there when Bruford suggested to have his King Crimson bandmate Tony Levin play bass on the album.	86.0	90.0	1357.0
bass	bass	Turner began playing the bass guitar in 1989 and in 1990 he formed Deer Bubbles with then partner Adalita Srsen.	25.0	29.0	1412.0
bass	bass_corp	Striped bass and hybrid striped bass have been stocked in the lake.	8.0	12.0	1348.0
bass	bass_corp	So I have not done uh much freshwater fishing oh for you know lake lake fishing for bass and so forth but uh maybe some what they call brim and those sorts of things but nothing			
bass	bass	Sitek was set to record the bass for the band's fourth studio album, entitled The Great Escape Artist.	28.0	32.0	1409.0
bass	bass	Its members were Thomas Cohen (vocals), Bradley Baker (machines, press), Samuel Kilcoyne (keyboards), Huw Webb (bass), and Melissa Rigby (drums).	112.0	116.0	1391.0
bass	bass_corp	Catching tree bass			
bass	bass	In particular, his writing for bass instruments is far more demanding than that of other composers of his era.	31.0	35.0	1403.0
bass	bass_corp	Do you have bass			
bass	bass	In 2001, at the request of Billy Duffy, Morrison joined The Cult as the band's new touring bass player.	91.0	95.0	1351.0
bass	bass	The search for a new bass player continued.	21.0	25.0	1374.0
bass	bass	The band's permanent members were Mick Murphy (lead vocals), Bob Collins (guitar) and Mark Matthews (bass).	101.0	105.0	1418.0
bass	bass_corp	Largemouth bass, grass carp, and crappie are present, with trout fishing the main attraction for anglers, especially on opening day.	11.0	15.0	1423.0
bass	bass	These 10-foot-long sheet metal idiophones are played with a bass bow to create low resonating tones.	60.0	64.0	1356.0
bass	bass	He is an endorser of Modulus basses, and Mark Bass bass amps.	46.0	50.0	1427.0
bass	bass	The band brought in Gustaf Hielm (ex-Meshuggah) to play the bass on the record.	60.0	64.0	1415.0
bass	bass	The album featured Tyler Bates on electric, acoustic, and bass guitars; keyboards, arrangements and programming.	58.0	62.0	1425.0
bass	bass	Simon Jones joined in to play bass and Seventh Angel performed concerts around Horsham and Stourbridge during the spring.	30.0	34.0	1388.0
bass	bass	It has two Vintage Jazz Bass Single-Coil Pickups (stock).	24.0	28.0	1350.0
bass	bass	"The bass took 2 years to complete, earning it the nickname ""Slow Joe""."	4.0	8.0	11593.0
bass	bass	Formally, Siddharta continued their work without a bass player.	51.0	55.0	1358.0
bass	bass	Additionally, Dinning is the uncle of Dean Dinning, bass guitarist for alternative rock band Toad the Wet Sprocket.	52.0	56.0	11589.0
bass	bass	He also sang bass on the soundtrack for the The Temptations mini series.	13.0	17.0	1381.0
bass	bass	Bruno plays upright bass, guitar, a little banjo, ukulele, and mandolin.	20.0	24.0	11590.0
bass	bass	The Mark VI Soprano, Baritone, and Bass models were produced from 1954-1981.	35.0	39.0	1387.0
bass	bass	Yanowitz was also the bass player, songwriter, and producer for the band Morningwood.	22.0	26.0	1389.0
bass	bass	The bass guitar on the song is played by Klaus Voormann, a friend of The Beatles from their Hamburg days.	4.0	8.0	1372.0
bass	bass	The root is omitted because the root is played by the bass player.	54.0	58.0	1367.0
bass	bass	After the Northern Lights, Underwood went on to form The Rosemary Beads, with Little (bass) and Cam Munachen (drums).	86.0	90.0	1404.0
bass	bass	"Eliot Kennedy uses it for one purpose, a ""classic dancefloor bass sound."""	61.0	65.0	1426.0
bass	bass_corp	Anglers also fish for whitefish, largemouth and smallmouth bass.	59.0	63.0	1414.0
bass	bass_corp	The last time I went uh bass fishing I was with my daughter a friend of hers and well a friend of mine and his daughter			
bass	bass	He is quoted as saying that when he was young his hero was John Deacon, the bass guitarist of Queen.	76.0	80.0	11591.0
bass	bass	Before being recruited as an actor, he spent many years as a bass player, guitarist, and blues harmonica player.	61.0	65.0	1430.0
bass	bass_corp	I think that uh probably around here people fish for bass and  and catfish more than anything else			
bass	bass	Seltzer played bass and drums on Route Zero.	15.0	19.0	1368.0
bass	bass	That year, Midgard assigned its option to Richard Bass, William Herbert Hunt, and William Herbert Hunt Trust Estate.	50.0	54.0	11596.0
bass	bass	There are trumpets and trombones in both series and the Meister series also includes a flugelhorn and bass trumpet.	102.0	106.0	1345.0
bass	bass	By 1989 the pair were joined by Zupanovich, Martin Moon (ex-Marigolds) on drums and Tony Italiano on bass guitar.	101.0	105.0	1402.0
bass	bass	He is best known for building 6- and 12-string acoustic guitars, but also builds acoustic bass guitars.	90.0	94.0	1353.0
bass	bass_corp	TNN Bass Tournament of Champions was followed by the sequel TNN Outdoors Bass Tournament '96.	73.0	77.0	1406.0
bass	bass	Bass Drum of Death is an American garage punk band from Oxford, Mississippi signed to Innovative Leisure Records.	0.0	4.0	1384.0
bass	bass	One week before their first show they brought Marrs in to replace Louis on bass.	75.0	79.0	1417.0
