homograph	selected_wordid	sentence	WHD_IPA_representations	auto-IPA
lives	lives_nou	But really if if they were going to save people s lives	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	But I just think our our family lives have changed drastically	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	For instance jobs that require use of heavy machinery and things like that where there s where there s uh endangerment to their own life and other people s lives	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	They risk their lives every day	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	In other words they just  their lives differently	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	I wonder how many of his lives he missed when that happened	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	So I feel like you know that s is there is occasions where there are they do spare lives	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	Um do you think I mean do you think our  the investment in lives and money was worth it	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	We lost lives	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	Momentum is uh driving force in our lives	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	Uh you know it it really irks me to see so much effort put into preventing someone being put to death by the state when they so callously and usually so you know without even thinking or without any concern uh you know end somebody else s life and in a lot of cases several people s lives	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	And and children s lives were simpler because mother was there	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	Because you  endangering everybody s lives if you if it s something like that	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	But I do n't know if they really had significant effects in the places where they went in teaching the people how to cope with their lives better	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	This is a uh a couple uh emigrated from China early in in their lives	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	Day cares have have have popped up and become a lot more um a lot bigger part of of the kids lives	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	We get so involved in our work lives and just social lives and so forth	['laɪvz' 'lɪvz']	laɪvz
lives	lives_vrb	I have a brother that lives in uh uh south bend indiana	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	Well my brother lives ten miles from here	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	Her grandmother lives there	['laɪvz' 'lɪvz']	laɪvz
lives	lives_vrb	One of our our kids lives out on the east coast	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	Well all see all the family lives in once place except for a few of us are scattered about	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	He lives in Cleveland	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	And uh seems like everyone that lives around us ends up you know hearing every conversation that goes on outside with everyone	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	So everything that lives around here is real tough	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	I mean I m sure I m going to be seeing it because in a week to amarillo where my sister lives	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	And then my mother who s very elderly lives with us	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	And uh my sister in law lives in Chicago	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	She is her uh her family you know lives there	['laɪvz' 'lɪvz']	laɪvz
lives	lives_vrb	Our family ranges from oh goodness well Australia I have a brother lives in Australia to uh boise Idaho and and uh all kinds of places	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	And I have a daughter that lives down in north carolina	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	My sister lives in Turkey	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	And it happened to be my friend who lives a few blocks away	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	And then I have a sister that lives in Austin	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	In fact I  got family that still lives up there	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	I have a brother in law that lives in Minnesota	['laɪvz' 'lɪvz']	lɪvz
lives	lives_vrb	He he lives in andover	['laɪvz' 'lɪvz']	lɪvz
permit	permit_nou	You have to get a permit from the police station in your local area to do that	"['pɚmət' ""pɚ'mɪt""]"	pɝˈmɪt
permit	permit_nou	Well up uh up in new england where I m from uh you had to get a permit before you could buy any  am ammunition	"['pɚmət' ""pɚ'mɪt""]"	pɝˈmɪt
permit	permit_nou	Takes two weeks for that system to process uh your request for uh not as a gun permit but uh but to buy ammunition	"['pɚmət' ""pɚ'mɪt""]"	pɝˈmɪt
present	present_adj-nou	But then so I took the ones from fifty two on to the present	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	And you buy a present	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	And indeed the present overcrowding conditions uh prevail	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	I told him  if you want to give me a present for christmas give me a 	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	And we at the present time do not have random testing	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	And I happened to need a birthday present for one of her friends	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	Well at the present time I have two dogs	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	Of course uh you being from new Mexico you  probably been n to Washington especially if you  your present location	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	But at the present stage you probably are even more in the market for a a budgetary thing than than most people probably  might be in terms of keeping keeping score of input and output	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	Uh it sounds like in a certain sense at least at the present	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	And then we have to take another one that s mid eighteen hundreds on up to basically present	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	But I kind of stay with my own subject matter what uh pertains to my daily life at the present time	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	Now I was warlock too which is supposed to be the story of a uh witch hunt that is you know magically shot into the present time	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	Well it was the equivalent of a christmas present	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	How are we supposed to present the imagine that we  supposed to present with equipment that s outdated that s obsolete	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	pɝˈzɛnt
present	present_adj-nou	You know so uh the only thing we  you know that we do now is uh I keep a a little spread sheet of uh what I call the net worth calculation which is just the the present value of various kinds of investments and so worth	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	And uh I find a little present on the floor sometimes when I come home	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	And you wrap the present up	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_adj-nou	Which is exactly what businesses do at the present	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	ˈprɛzʌnt
present	present_vrb	And you present your case	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	priˈzɛnt
present	present_vrb	It s more in how you present it versus you know who s right	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	priˈzɛnt
present	present_vrb	Well I had heard a couple of people you know that I had talked to about certain programs say that you know they had read other things besides what sixty minutes presented and that they did n't present it nearly the same way as the you know news articles or whatever they had they had already been familiar with	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	pɝˈzɛnt
present	present_vrb	How are we supposed to present the imagine that we  supposed to present with equipment that s outdated that s obsolete	"['pɹɛzənt' ""ˌpɹiː'zɛnt""]"	pɝˈzɛnt
produce	produce_nou	A lot of um of a um winter produce comes from south america	"['pɹoʊˌduːs' ""pɹə'duːs""]"	ˈprodus
progress	progress_vrb	I think that s what made us uh progress to the state we are is our curiosity	"['pɹɑːˌɡɹɛs' ""pɹə'ɡɹɛs""]"	proˈgrɛs
read	read_past	I read in the paper this week where maybe	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	And I read the whole damn book while I was home hauling out you know like ten  buckets of of water and waiting for the roof to collapse and reading about these guys wearing their little free man still suits	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	I I read that recently somewhere	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	And after I i graduated I read some of the old classics that I just bluffed my way through and have found that I enjoy them quite a bit too uh	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	Well tell me what kind of books have you read	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	But what I  read about it they talk about that	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	I read um jane eyre	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	I uh fact last time I read the Dallas Dallas news I was in Arkansas	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	I read it	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	But the trucks that were supposed to do it there s been some problems with from what I  read in you know the mail that we get	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	But I i read that uh	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	And right now my list of books to be read have to do with uh the art of selling	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	And I took a novel with me uh and read it at thanksgiving time	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	I I read an interesting article in the paper that discussed uh that uh	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	I read about how they did uh an article on how they did all the special effects with the submarine	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	I d read one book I think it was calls trial by jury of all things that uh went through and interviewed a bunch of jurors in some of the big cases and in many cases looking at what had at the evidence afterwards as to whether the decision was right went back to the jurors uh based on the deliberations	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	I read that too	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	I m trying to think the last actual book I read that was n't	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	I read a book one time that said that the best cars were made before seventy four	['ɹɛd' 'ɹiːd']	rɛd
read	read_past	And now I  like a said I  read a lot of self self help books	['ɹɛd' 'ɹiːd']	rɛd
read	read_present	Do you ever read	['ɹɛd' 'ɹiːd']	rid
read	read_present	Because uh I love to read his his uh children s books just	['ɹɛd' 'ɹiːd']	rid
read	read_present	And and I guess when it comes to um to magazines I do n't read	['ɹɛd' 'ɹiːd']	rid
read	read_present	I find I i read very little	['ɹɛd' 'ɹiːd']	rid
read	read_present	I m  read it fast and put it down	['ɹɛd' 'ɹiːd']	rid
read	read_present	And then when Jennie had to read it at Gettysburg and I got her the I got her someone	['ɹɛd' 'ɹiːd']	rid
read	read_present	The question was uh what kind of books do you read for entertainment uh uh I guess	['ɹɛd' 'ɹiːd']	rid
read	read_present	Did you ever read the uh uh oh	['ɹɛd' 'ɹiːd']	rid
read	read_present	But but I do read it too	['ɹɛd' 'ɹiːd']	rɛd
read	read_present	But you do n't read many sports books	['ɹɛd' 'ɹiːd']	rid
read	read_present	Since I  been getting the journal like maybe maybe I  read two maybe three	['ɹɛd' 'ɹiːd']	rid
read	read_present	Not if you can read or write or do or  understand some science	['ɹɛd' 'ɹiːd']	rid
read	read_present	And it and it s kind of short because we do n't woe do n't have a lot of time to to read	['ɹɛd' 'ɹiːd']	rid
read	read_present	You just say well look read the miles per hour one	['ɹɛd' 'ɹiːd']	rid
read	read_present	And I read magazines and such	['ɹɛd' 'ɹiːd']	rid
read	read_present	And anything I participated in or know about when I read about it in the paper is always so uh covered from such a funny and superficial perspective that I do n't have much confidence in it	['ɹɛd' 'ɹiːd']	rid
read	read_present	You just kind of have to read and understand what is going on	['ɹɛd' 'ɹiːd']	rid
read	read_present	But a lot of the times I you know I wish I had the time to read all the stories in the newspaper	['ɹɛd' 'ɹiːd']	rid
read	read_present	I  always wanted to go back and read some of my literature texts from college um because I enjoyed some of those stories so much	['ɹɛd' 'ɹiːd']	rid
read	read_present	These some of these young kids you read about just does n't bother them to kill someone at all	['ɹɛd' 'ɹiːd']	rid
separate	separate_vrb	Uh around here we have a program where uh we we put out the the we separate the bottles and the cans and the plastic stuff from the newspapers	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝˌet
separate	separate_vrb	And you separate your glass and paper and uh aluminum	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝɪt
separate	separate_vrb	Separate them	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛprʌt
separate	separate_vrb	But in uh in the paper one you have to separate	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝɪt
separate	separate_vrb	And uh they try to get you to go ahead and separate it	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝɪt
separate	separate_vrb	We have a pilot program in Arlington going on I think in the north part of the city where they are have people people separate the garbage as the trash as they put it out	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝˌet
separate	separate_vrb	And we have to separate our papers and our glass	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝɪt
separate	separate_vrb	And that s real discouraging thinking you  sitting there working to separate it	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝˌet
separate	separate_vrb	They separate them as they as they you know dump them	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝɪt
separate	separate_vrb	The law enforcement community uh uh you know has to has to separate the difference between somebody who is being set up in which uh grievous acts are done to uh to you know to get somebody into a a situation where they  going to be guilty of of a crime	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝɪt
separate	separate_vrb	But I do get tired of having to separate paper you know	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝɪt
separate	separate_vrb	I really do n't understand that part on what they  told you to separate everything	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝˌet
separate	separate_vrb	And you know we separate everything out and then have to haul it up to a  you know which is a real pain	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝˌet
separate	separate_vrb	Uh there s too much labor involved I guess to separate the stuff	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝɪt
separate	separate_vrb	You know they really did separate them well	['sɛpɚət' 'sɛpɚˌeɪt']	ˈsɛpɝˌet
sow	sow	But that does n't negate that you do reap what you sow	['saʊ' 'soʊ']	saʊ
transplant	transplant_vrb	So I just cut the leaves off and transplant and put some other plants down because I want them to come back up next year	"['tɹænsˌplænt' ""ˌtɹæns'plænt""]"	træˈnsplænt
transplant	transplant_vrb	And I just threw them on the side intending to transplant them or throw them away or something and forgot about them through the whole winter	"['tɹænsˌplænt' ""ˌtɹæns'plænt""]"	træˈnsplænt
use	use_vrb	Other than you use them or you do n't use them you like them or you do n't like them	['juːs' 'juːz']	juz
use	use_vrb	There s been a couple of other the people uh most of whom are like me that work in in speech labs that are going to use data base eventually	['juːs' 'juːz']	juz
use	use_vrb	The ones we use is like visa	['juːs' 'juːz']	juz
use	use_vrb	And uh you know they used to use it for leather I think	['juːs' 'juːz']	juz
use	use_vrb	Use it as a just a	['juːs' 'juːz']	juz
use	use_vrb	Well I guess I could use a card too	['juːs' 'juːz']	juz
use	use_vrb	I said because I want him to know how to use one of these	['juːs' 'juːz']	juz
use	use_vrb	I use tapes	['juːs' 'juːz']	juz
use	use_vrb	And you never really use them	['juːs' 'juːz']	juz
use	use_vrb	Well the there s a trick I use	['juːs' 'juːz']	juz
use	use_vrb	Well I know how to use one	['juːs' 'juːz']	juz
use	use_vrb	So you ca n't use oil on wood	['juːs' 'juːz']	juz
use	use_vrb	That that s that much fertilizer you have to use because it does fertilize the lawn	['juːs' 'juːz']	juz
use	use_vrb	Uh I use them both here at work and at home	['juːs' 'juːz']	juz
use	use_vrb	I use a couple of things from  that it says this is  material	['juːs' 'juːz']	juz
use	use_vrb	So the only thing that I use is soap	['juːs' 'juːz']	juz
use	use_vrb	For instance she she would take the waxed paper out of a cereal box and use that for you know when she made cookies	['juːs' 'juːz']	juz
use	use_vrb	So I use that	['juːs' 'juːz']	juz
use	use_vrb	I want I want something that s serviceable serviceable something that I can use	['juːs' 'juːz']	juz
use	use_vrb	But use use good uh stuff and buy it at a paint store where they have the right brands that will go down and come up easily	['juːs' 'juːz']	juz
uses	uses_vrb	I mean right now uh I believe there are two policies that uh that the government uses to modulate immigration	['juːsəz' 'juːzəz']	ˈjuzɪz
uses	uses_vrb	What kind of cloth uses that	['juːsəz' 'juːzəz']	ˈjuzɪz
uses	uses_vrb	Is that what he uses	['juːsəz' 'juːzəz']	ˈjuzɪz
uses	uses_vrb	He always uses it to  his lawn	['juːsəz' 'juːzəz']	ˈjuzʌz
uses	uses_vrb	She she uh she uses it now uh my sister to	['juːsəz' 'juːzəz']	ˈjusɪz
uses	uses_vrb	I think Florida still uses electric chair	['juːsəz' 'juːzəz']	ˈjuzɪz
uses	uses_vrb	And he uses it for his school work	['juːsəz' 'juːzəz']	ˈjuzʌz
uses	uses_vrb	It s all she  uses it for	['juːsəz' 'juːzəz']	ˈjuzɪz
uses	uses_vrb	One of our our biggest electrical plants in rhode island uses coal to uh generate electricity	['juːsəz' 'juːzəz']	ˈjuzʌz
uses	uses_vrb	The uh swimming they say uses more muscles than any other exercise with	['juːsəz' 'juːzəz']	ˈjusɪz
uses	uses_vrb	And she uses it to compose and print out letters	['juːsəz' 'juːzəz']	ˈjuzɪz
uses	uses_vrb	Mostly my one sister uses hers for her children you know children s games	['juːsəz' 'juːzəz']	ˈjuzɪz
uses	uses_vrb	And he uses all of his special effects knowledge in doing what needs to be done	['juːsəz' 'juːzəz']	ˈjuzɪz
wind	wind_vrb	They  come in and tell us that the switchboard is full now and it s time for you to wind up in the next thirty seconds or something like that	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	You know it s going to wind up hurting your state if all the other states are n't doing it at the same time	['wɪnd' 'waɪnd']	wɪnd
wind	wind_vrb	But we have such an affluent a society society that I wonder if if we took a little from here and there and the other if we might wind up with a a cure for just about everything	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	Uh when you get to be my age and you start abusing your systems you get blown away and just wind up having to kiss your ass good  you know	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	Because people that uh do n't make very much money wind up spending it all	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	And so I wind up going out camping with uh a bunch of boys at one time	['wɪnd' 'waɪnd']	wɪnd
wind	wind_vrb	We all need that time just some quiet time to wind down from the day	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	And uh I find if you  not careful you wind up uh a month or so staring those bills in the face	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	You know because you know because uh the country s going to wind up paying for the treatment of patients	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	So I wind up with my getting money back on my uh from my uh withholding	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	A a as soon as we wind up uh uh you know for	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	It could really wind up	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	And I always wind up getting under the hood and finding out all the things that you know need to be taken care of and so forth	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	And you wind up waiting about an hour	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	Uh well um first off we d probably wind up with a a cat or maybe a puppy	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	And and it was a little bit hard to uh wind down	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	What did you wind up with	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	And uh still you wind up meeting people you uh you never knew you were related to let alone	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	And a lot of times what I wind up doing is picking say an actor or an actress and seeing like all	['wɪnd' 'waɪnd']	waɪnd
wind	wind_vrb	And you know they  they  wind up being good again	['wɪnd' 'waɪnd']	waɪnd
winds	winds_vrb	But uh the guy winds up getting hurt every other game	['wɪndz' 'waɪndz']	waɪndz
winds	winds_vrb	And it  it was really funny it s uh that that he winds up playing in the movie	['wɪndz' 'waɪndz']	waɪndz
winds	winds_vrb	And she winds up being a a victim day after day after day	['wɪndz' 'waɪndz']	waɪndz
winds	winds_vrb	First thing that comes to mind is some kind of chain stitch because she starts and goes all the way across you know back and forth until she winds up with this big piece of of afghan	['wɪndz' 'waɪndz']	waɪndz
wound	wound_vrb	So wound up back about two hundred miles aware away from where we started out	['wuːnd' 'waʊnd']	waʊnd
wound	wound_vrb	So it s uh wound up that uh we  the old folks now	['wuːnd' 'waʊnd']	waʊnd
