homograph,simalign_fr,fr-label,en_sent,fr_sent
bow,ruban,bow_nou-knot,"Ladies and gentlemen , many of you are wearing the little red bow at this time . "," Mesdames et Messieurs , je constate que vous êtes nombreux à arborer un ruban rouge . "
bow,soumettra,bow_nou-ship,"At the same time , it should send a clear and unambiguous message that the Union will not bow to unacceptable pressures , such as those currently exerted by the United States with its list of reprisals . "," Il faut aussi clairement faire savoir que l' Union ne se soumettra ni à des pressions inacceptables , comme celles exercées actuellement par les États-Unis , ni à sa liste de représailles . "
buffet,secouer,buffet_vrb,"Environmental concerns can never be jeopardised , but at the same time , they can not be detached from economic issues ; still less in this time of crisis that we are still experiencing , and which continues to buffet the countries of southern Europe , especially my country , Portugal . "," Les préoccupations environnementales ne peuvent jamais être compromises , mais , en même temps , elles ne peuvent être détachées des questions économiques , a fortiori en cette période de crise que nous sommes encore en train de traverser et qui continue de secouer les pays d' Europe méridionale , en particulier mon pays , le Portugal . "
close,clore,close_vrb,"On 29 June , Chancellor Merkel used this African proverb to close her Presidency : ' If you want to go quickly , go alone , but if you want to go far , go together . ' "," Le 29 juin dernier , la Chancelière a utilisé ce proverbe africain pour clore sa présidence : "" Si tu veux aller vite , vas - y seul mais si tu veux aller loin , alors il faut y aller ensemble "" . "
close,combler,close_vrb,My group welcomes this week 's decision by finance ministers to refocus the growth initiative away from road and rail projects and towards investment in innovation which will help to close Europe 's research deficit .," Mon groupe se réjouit de la décision arrêtée cette semaine par les ministres des finances de réorienter l’ initiative pour la croissance , en se détournant des projets routiers et ferroviaires , au profit des investissements dans l’ innovation qui contribueront à combler le déficit de recherche de l’ Europe . "
close,conclure,close_vrb,"To close , I should like to thank you once again and I shall follow the debate by the Members with a great deal of interest . "," Pour conclure , je voudrais vous remercier une fois encore et c’ est avec beaucoup d’ intérêt que je vais assister au débat des députés . "
close,dissoudre,close_vrb,It now wants to close it down even though it is currently the only available instrument for carrying out work that we believe to be effective in situations that are anything but transparent .," Elle veut maintenant la dissoudre , alors que c' est le seul instrument dont elle dispose à l' heure actuelle pour accomplir un travail que nous jugeons efficace , dans des situations qui sont tout sauf transparentes . "
close,ferme,close_vrb,"For example , in agriculture and fishing , it makes no sense to fund economic development plans with one hand and close the door on products from developing countries with the other . "," Dans l' agriculture et dans la pêche , par exemple , il ne sert à rien de financer des projets de développement économique si l' on ferme la porte aux produits en provenance des pays en développement . "
close,fermer,close_vrb,"The Iranian supreme leader , in an official announcement at the end of February , asked the visiting Iraqi President to implement the mutual agreement to close down Camp Ashraf and expel all its residents from Iraq . "," Le dirigeant suprême iranien , dans un communiqué officiel fin février , a demandé au président irakien en visite d' appliquer l' accord mutuel visant à faire fermer le camp d' Ashraf et à expulser d' Irak tous ses résidents . "
close,terminer,close_vrb,"I do not want to close without extending very warm thanks to the services - both the committee 's and those of the groups - for their contribution to the production of the report , and also to the shadow rapporteurs , Mr Montoro Romero , Mrs in ' t Veld , Mrs Rühle and Mrs Wagenknecht , whose excellent cooperation has made it possible to present a unanimous report . "," Je ne voudrais pas terminer sans remercier très chaleureusement les services - à la fois ceux de la commission et ceux des groupes - pour leur contribution à ce rapport , ainsi que les rapporteurs fictifs , M. Montoro Romero , Mme in ' t Veld , Mme Rühle et Mme Wagenknecht , dont l' excellente coopération a permis de présenter un rapport unanime . "
close,terminerai,close_vrb,"I would also like – and with this I shall close , not least because I see that the Deputy Prime Minister is here in his capacity as President - in - Office of the Council – to address the issue of how we should proceed as regards data and the combating of terrorism . "," Je voudrais également   -   et je terminerai là - dessus , en particulier parce que je remarque la présence parmi nous du Vice-premier ministre en sa qualité de président en exercice du Conseil   -   pour évoquer la question de la rétention des données dans la lutte contre le terrorisme . "
combine,associer,close_vrb,Some political figures and specialists have raised the possibility of achieving an agreement between the Member States which would combine the monitoring of the Union 's external borders with a new ' revolving door ' immigration policy to allow legally established immigrants in the Union to return to their countries of origin without fear of encountering a closed door when returning to the EU .," Certains responsables politiques et spécialistes ont envisagé la possibilité de conclure un accord entre les États membres permettant d' associer le contrôle des frontières extérieures de l' Union à une nouvelle politique d' immigration de "" porte à tambour "" afin de permettre aux immigrants légalement installés dans l' Union de retourner dans leur pays d' origine sans craindre de se heurter à une porte fermée à leur retour dans l' UE . "
compound,composé,compound_nou,"Until recently , mercury was and , in many cases , still is in every household and in every doctor 's and dentist 's surgery , as well as in every hospital in the form of thermometers , barometers , sphygmomanometers , tooth fillings , etc . We need to get rid of mercury , but it is neither a highly contagious lethal virus nor a nerve gas compound which is deadly on near touch . "," Jusqu' à il y a peu , il y avait du mercure - et il y en a souvent encore - dans chaque ménage , dans chaque cabinet médical et dentaire ainsi que dans tous les hôpitaux sous la forme de thermomètres , de baromètres , de tensiomètres , de plombages dentaires , etc. Nous devons nous débarrasser du mercure , mais il ne s' agit ni d' un virus mortel hautement contagieux , ni d' un composé gazeux neurotoxique mortel dès qu' on s' en approche . "
compound,composés,compound_nou,"in writing . Conservative MEPs supported this report so as to facilitate a swift correction of Directive 2002/2 / EC by deleting , in line with the Court of Justice 's ruling , the obligation for feed manufacturers to inform customers on request of the exact composition of compound feedingstuffs . "," par écrit . - ( EN ) Les députés européens conservateurs ont soutenu ce rapport afin de faciliter la correction rapide de la directive 2002/2 / EC en supprimant l' obligation des fabricants d' aliments pour animaux d' informer les consommateurs qui le demandent de la composition exacte des aliments composés , conformément à la décision de la Cour de justice . "
compound,exacerber,compound_vrb,Reductions in social programmes and services would compound the problem for those who are experiencing an erosion in their purchasing power ., Les réductions dans les programmes et les services sociaux vont exacerber le problème pour ceux qui subissent une érosion de leur pouvoir d' achat . 
compound,mélange,compound_nou,"This is something that occurred in the Republic of Ireland , but the ironic thing is that the waste oil which was the supposed cause of the problem originally came from Northern Ireland . But it manifested itself in the compound feed from the Republic of Ireland . "," La République d' Irlande a connu cette situation , mais , paradoxalement , l' huile usagée incriminée provenait à l' origine d' Irlande du Nord , bien que la contamination ait été identifiée dans le mélange alimentaire produit en République d' Irlande . "
compound,mixte,compound_nou,"Last but not least , the price of compound feedingstuff in animal feeds should become cheaper . ", Le prix du fourrage mixte pour l' alimentation animale devrait également devenir plus avantageux . 
compound,produit,compound_nou,"As far as the common usage of this compound is concerned , the cost to society far outweighs any material benefits . "," En ce qui concerne l' usage grand public de ce produit , le coût pour la société est de loin supérieur à tout bénéfice matériel . "
compound,site,compound_nou,"Member of the Commission . Mr President , we have all witnessed , as the Council President has just mentioned , the events around the Red Mosque in Islamabad and the latest reports say that most of the compound has now been cleared and that the operation has entered its final stage . "," Monsieur le Président , nous avons tous été témoins , comme le président du Conseil vient de le mentionner , des événements qui ont eu lieu à la Mosquée rouge d' Islamabad et , selon les dernières informations , le site est maintenant évacué en grande partie et l' opération est entrée dans sa dernière phase . "
conflict,contraire,conflict_vrb,The Commission believes that an outright ban would both lack environmental justification and would conflict with the Treaty ., La Commission est d’ avis qu’ une interdiction pure et simple ne se justifierait pas sur le plan environnemental et serait contraire au Traité . 
conflict,opposeraient,conflict_vrb,"Returning to the case in hand , I believe that Parliament should not ask the Commission to investigate the existence of recommendations made by national agencies responsible for food safety that conflict with Community decisions . "," Revenons -en au cas dont il est question . Le Parlement ne doit pas , d' après moi , demander à la Commission d' enquêter sur l' existence de recommandations émises par les agences nationales en charge de la sécurité alimentaire , recommandations qui s' opposeraient aux décisions communautaires . "
conjugate,conjuguer,conjugate_vrb,"And therefore , as many previous speakers have during this festive season , I would like to express the wish that the European summit will one day learn , in as many languages as you like , to understand , appreciate , state , perhaps even conjugate much better , on the threshold of the 21st Century , one little word which is no longer established in poetry alone but in politics as well . That word is ' woman ' . "," Et par conséquent , comme d' autres , en cette période de souhaits , je voudrais exprimer celui que le sommet européen puisse un jour se mettre à apprendre dans toutes les langues que l' on voudra , à mieux connaître , à mieux apprécier , à mieux décliner , peut-être même à mieux conjuguer , au seuil du XXIe siècle , un petit mot qui n' a plus seulement droit de cité dans la poésie mais dans la politique , en français , le mot "" femme "" . "
consummate,consommé,consummate_adj,"Today we have listened to a speech which , with consummate skill , built up the advantages which the European Union might gain from the transatlantic partnership between Europe and the United States , and played down the disadvantages of this partnership between partners who are fundamentally unequal . "," Là , en l' occurrence , nous avons assisté , avec un art consommé , à un discours qui avait pour but de grossir les avantages que l' Union européenne pourrait retirer du partenariat transatlantique entre l' Europe et les États-Unis , et de rapetisser les inconvénients de ce même partenariat , dus au fait qu' il s' agit d' un partenariat entre des partenaires fondamentalement inégaux . "
consummate,consommée,consummate_adj,"- ( EL ) Madam President , Commissioner , you have slalomed your way around the articles of the Treaties with consummate legal skill . "," - ( EL ) Madame la Présidente , Monsieur le Commissaire , vous avez slalomé autour des articles du traité avec une habilité juridique consommée . "
consummate,éprouvée,consummate_adj,"This was why , after the hearing in the Committee on Economic and Monetary Affairs on 29 April , we all concluded that she merits description as frank , competent and a consummate professional . "," C' est la raison pour laquelle nous étions tous d' avis , après l' audition en commission économique et monétaire le 29 avril , qu' elle pouvait être décrite comme une professionnelle franche , compétente et éprouvée . "
consummate,fait,consummate_adj,"This was done with consummate elegance , and I must say that I was present at many press conferences and I also went to the events organised by the non - governmental organisations . ", C' était tout à fait élégant et je dois dire que j' ai assisté à de nombreuses conférences de presse et me suis rendue aux manifestations organisées par les organisations non gouvernementales . 
content,contenter,content_adj-nou-vrb,"The European Parliament can not be content with this state of affairs as there is a danger of it causing the single currency to fail , but also because a ' successful ' euro is a powerful factor in forging a common European identity . "," Le Parlement européen ne peut pas se contenter de cet état de fait , parce qu' il risque de conduire la monnaie unique à l' échec ; mais aussi parce que l' euro « réussi » est un puissant facteur d' identité européenne commune . "
content,satisfait,content_adj-nou-vrb,"Is the Council content with this situation and , if not , what action is proposed ? "," Le Conseil est -il satisfait de cette situation et , dans le cas contraire , quelle mesure suggère -t -il de prendre ? "
content,satisfaite,content_adj-nou-vrb,"On the other hand , the Foreign Affairs Committee , which actually began this programme some twelve years ago - it was 1992 not 1994 and I was the original rapporteur - is not content . "," Par contre , la commission des affaires étrangères , qui a en réalité entamé son programme voici environ douze ans   - c’ était en 1992 et non en 1994 et j’ étais le premier rapporteur   - n’ est   pas satisfaite . "
content,suffirait,content_adj-nou-vrb,I should be content with a flexibilization of the second French market to make it more accessible to small private shareholders and businesses .," Il me suffirait , à moi , d' un assouplissement du second marché français , rendu plus accessible aux petits actionnaires particuliers et aux entreprises . "
deliberate,envisager,deliberate_vrb,"We must deliberate on the restructuring of social security systems and on ensuring minimum social rights at the European level that will facilitate the free circulation of workers , specialised personnel , businessmen , researchers , students and retired people . "," Nous devons envisager de restructurer les régimes de sécurité sociale et de garantir un minimum de droits sociaux au niveau européen afin de faciliter la libre circulation des travailleurs , du personnel spécialisé , des entrepreneurs , des chercheurs , des étudiants et des retraités . "
deliberate,examiner,deliberate_vrb,Their newly won right to deliberate on new laws in elected parliaments is to be transferred to negotiators behind more closed doors in Brussels ., Le droit nouvellement acquis d' examiner de nouvelles lois au sein de parlements élus sera cédé à des négociateurs qui travailleront à nouveau à huis clos à Bruxelles . 
diagnoses,diagnostic,diagnoses_nou,"The report manages to ask questions and make diagnoses , but does not prescribe any medicine , which only serves to encourage these self - regulating instruments . "," Le rapport parvient à formuler des questions et à poser un diagnostic , mais il ne prescrit aucun remède . Cela ne peut qu’ encourager ces outils d’ autoréglementation . "
diagnoses,diagnostics,diagnoses_nou,"He also points out that there is a great discrepancy between the safety percentages of the different Member States , but I believe that that discrepancy does not exist in the diagnoses or in the most useful instrument : the legislation , setting limits and dissuasive measures . "," Il met également en avant l’ écart considérable entre les pourcentages de sécurité des divers États membres , mais je crois que cet écart n’ existe pas dans les diagnostics ou dans l’ instrument le plus utile : la législation , qui fixe des limites et adopte des mesures dissuasives . "
discharge,rempli,discharge_vrb,"With this proposal the European Parliament has sought to discharge part of its responsibilities , in the conviction that this disposes of one of the priorities from the budgetary guidelines for 1998 , which we adopted in March of this year . "," En présentant sa proposition , le Parlement européen a rempli la tâche qui lui incombe , convaincu que cela répond à une priorité conformément aux orientations budgétaires que nous avons décidées en mars de cette année pour 1998 . "
discount,décompter,discount_vrb,"I would like to ask the Commission and the Council the following question , therefore : when calculating the 3 % budget deficit , are you prepared to discount , with immediate effect , public spending and costs incurred as a result of exceptional circumstances , such as the fires which devastated Portugal this summer ? "," La question que je voudrais poser à la Commission et au Conseil est la suivante : êtes -vous disposés , pour le calcul du déficit budgétaire fixé à 3 % , à décompter , avec effet immédiat , les investissements publics et les dépenses liés à des circonstances exceptionnelles , comme les incendies qui ont ravagé le Portugal cet été ? "
discount,tenir,discount_vrb,"Most likely , if Ireland votes against this Treaty , ways and means will also be found to discount that vote . "," Il est très probable que si l' Irlande rejette ce traité , on trouvera moyen de ne pas en tenir compte . "
dove,colombe,dove,"Mr Commissioner , I know very well that even with an olive branch in your mouth , you could never be a dove ! "," Je sais bien , Monsieur le Commissaire , que même avec un brin d' olivier à la bouche , vous ne ressemblerez jamais à une colombe ! "
dove,colombes,dove,The representative of Mr Sharon has almost stated that the tanks which enter the Palestinian regions are a kind of peace dove ., Le représentant de Sharon déclare presque que les tanks entrés dans les territoires palestiniens sont autant de colombes de la paix . 
dove,dove,dove,I helped them recently to open their new ' dove ' project - an open drop - in counselling centre for women who are victims of domestic violence ., Je les ai aidés récemment à inaugurer leur nouveau projet « dove » - un centre d' accueil et de conseil ouvert aux femmes victimes de violence domestique . 
fragment,éparpillent,fragment_vrb,I fear that all this work will fragment and there will be unnecessary overlap ., Je crains que tous ces efforts ne s' éparpillent et qu' il n' y ait des chevauchements superflus . 
fragment,explose,fragment_vrb,"Without a fundamental change , there is a danger that the third largest country in Africa will fragment . "," Si un changement fondamental survient dans ce pays , il est à craindre que le troisième plus grand pays d' Afrique n' explose . "
fragment,fragmentation,fragment_vrb,"This policy is a uniform European - wide programme , and forcing national governments to contribute up to 25 % of the agricultural budget would clearly fragment and distort the workings of the CAP . ", Cette politique constitue en réalité un programme qui s' applique uniformément à toute l' Europe et le fait de contraindre les gouvernements nationaux à contribuer à concurrence de 25 % au financement du budget de l' agriculture entraînerait manifestement une fragmentation et des distorsions au niveau du fonctionnement de la PAC . 
fragment,fragmentent,fragment_vrb,They fragment the market and can lead to a shift in activities to the cheapest region ., Ils fragmentent le marché et peuvent entraîner un glissement des activités vers la région la plus avantageuse . 
fragment,fragmenter,fragment_vrb,"Without that , we will be exposed to different threats and attempts to divide us , to fragment us . "," Sans cela , nous nous exposerons à diverses menaces et tentatives de nous diviser , de nous fragmenter . "
fragment,fragmenteraient,fragment_vrb,"The Commission can not accept Amendments 1 , second part , 11 and 13 , as they would fragment the internal market . "," La Commission ne peut accepter les amendements 1 , deuxième partie , 11 et 13 , dans la mesure où ils fragmenteraient le marché intérieur . "
impact,affectée,impact_vrb,"We support authorisation for an unlimited period , provided that this does not impact on product safety . "," Nous sommes en faveur d' une autorisation sans limitation dans le temps , à condition que la sécurité des produits n' en soit pas affectée . "
impact,influencent,impact_vrb,"As climate change and other factors increasingly impact on our fish stocks , our management will need the necessary flexibility , based on sound peer - reviewed science , to adapt to the new conditions and ensure sustainability of resources . "," Avec le changement climatique et d' autres facteurs qui influencent de plus en plus nos stocks de poissons , notre gestion devra être assez souple , sur la base d' une évaluation par les pairs , pour s' adapter aux nouvelles conditions et garantir la durabilité des ressources . "
impact,influent,impact_vrb,"These matters impact on one another , and that is why I am trying to explain here that , unless we are prepared to make changes now , the public are not going to back us and we will lose out in the significant , major issues . "," Ces questions influent l' une sur l' autre et c' est pourquoi j' essaie d' expliquer que , si nous ne sommes pas prêts à opérer des changements dès à présent , nous perdrons l' appui de l' électeur et échouerons dans des dossiers importants . "
incline,appuierez,incline_vrb,"I hope you will not incline too much towards the US , for example on environmental issues . ", J' espère que vous ne vous appuierez pas trop sur les États-Unis concernant par exemple les questions environnementales . 
incline,inciter,incline_vrb,"This should incline you to self - criticism , rather than to the unbounded propaganda of success . ", Cette nouvelle devrait vous inciter à l' autocritique plutôt qu' à une autosatisfaction débridée . 
incline,penchions,incline_vrb,"I would add that we should not incline towards the simple idea that the Central Bank , as the monetary authority , is the only body responsible for price stability and the fight against inflation . "," Je voudrais ajouter qu' il ne faudrait pas que nous penchions vers cette idée simple qui consisterait à estimer que la Banque centrale , qui est l' Autorité monétaire , serait la seule à être en charge de la stabilité des prix et de la lutte contre l' inflation . "
incline,pousse,incline_vrb,"At such times , people 's emotions incline them to desire a very different outcome . "," Dans de telles situations , l' émotion pousse les gens à souhaiter une issue très différente . "
increment,accroissement,increment_vrb,The EU ratio of felling to increment is stable at around 60 % .," Le rapport volume abattu / accroissement est stable dans l' Union , aux alentours de 60 % . "
initiate,atteler,initiate_vrb,The Commission must initiate work on a thorough report analysing everything related to the problem of honesty in gambling and all the legal and social consequences associated with this .," La Commission doit s' atteler à l' élaboration d' un rapport fouillé , analysant tout ce qui a trait au problème de l' honnêteté dans les jeux d' argent et toutes les conséquences juridiques et sociales qui y sont liées . "
initiate,commencer,initiate_vrb,We must initiate the preparatory administrative measures ., Il est nécessaire de commencer les mesures préparatoires à caractère administratif . 
initiate,élaborent,initiate_vrb,"I believe that it is important for Member States to devise specific strategies and initiate concrete actions for developing tourism in coastal regions , taking into account the special nature of the surrounding environment and with a view to protecting it . "," Je pense qu' il est important pour les États membres qu' ils élaborent des stratégies spécifiques et qu' ils entreprennent des actions concrètes visant à développer le tourisme dans les régions côtières , en tenant compte de la nature spéciale de l' environnement afin de le protéger . "
initiate,engager,initiate_vrb,"I am likewise in favour of allowing national central banks to initiate sanctions , whilst giving the ECB alone the final say : greater controls at local level will be matched by more uniform treatment throughout the ESCB . "," De plus , je suis favorable à la possibilité laissée aux banques centrales nationales d' engager la procédure de sanction , tout en laissant à la seule BCE la décision finale de son approbation . En effet , face à un plus grand contrôle effectué au niveau local , on garantira une uniformité de traitement au sein de tout le SEBC . "
initiate,entament,initiate_vrb,"Opening negotiations by no means implies that they will be completed overnight ; it does however mean bringing these countries to the negotiating table on a par with the other states , Poland , the Czech Republic , Estonia , Hungary and so on . On this point my report , as adopted by the Committee on Foreign Affairs , Security and Defence Policy , clearly indicates to the Council and Commission that they should reassess their verdict on Latvia and initiate negotiations with this country without further delay . "," Il s' agit d' asseoir ces pays à la table des négociations au même titre que les autres États , au même titre que la Pologne , la République tchèque , l' Estonie , la Hongrie , etc. Monsieur le Président , mon rapport , qui a reçu l' aval de la commission des affaires étrangères , de la sécurité et de la politique de défense , donne sur ce point une indication précise au Conseil et à la Commission afin qu' ils reconsidèrent leur jugement sur la Lettonie et entament , sans délai , les négociations avec ce pays . "
initiate,entamer,initiate_vrb,I would therefore support your view that we will need to initiate a political dialogue on the implementation of the action plan on an agreed basis of mutual benefit both for Member States of the Union and for the third countries .," Dès lors , je soutiendrais votre point de vue selon lequel nous devrons entamer un dialogue politique sur la mise en uvre du plan d' action en nous appuyant sur une base convenue de bénéfice mutuel , à la fois pour les États membres de l' Union européenne et pour les pays tiers . "
initiate,impulser,initiate_vrb,"Mr President , ladies and gentlemen , the Community initiative LEADER proved itself to be an effective instrument to initiate innovative developments and pilot projects both within and outside rural areas . "," Monsieur le Président , Mesdames et Messieurs , en tant qu ' instrument permettant d ' impulser des développements novateurs et des projets pilotes tant au sein qu ' en dehors de l ' espace rural , l ' initiative communautaire Leader a donné des résultats concluants . "
initiate,initier,initiate_vrb,The European Union must initiate this change and set an example to its trade partners ., L' Union européenne doit initier ce changement et se doit d' agir en exemple à l' égard de ses partenaires commerciaux . 
initiate,introduire,initiate_vrb,"By implying in its judgment that MEPs who are nonetheless discriminated against are welcome to initiate new legal proceedings , the Court is doubtless concerned to ensure that the principle of equality is observed to the full . ", L' arrêt stipule aussi indirectement que les députés qui font malgré tout l' objet d' un traitement discriminatoire peuvent introduire une nouvelle action afin de permettre à la Cour de justice de garantir le respect total du principe d' égalité entre députés en tant que principe de base . 
initiate,mettre,initiate_vrb,I believe that the Commission should ensure that provision is made within the Euro - Mediterranean process to allow us to initiate now - and especially now since early elections have been called - a specific programme for Algeria that can be implemented with a certain degree of flexibility .," Je crois que la Commission devrait inclure dans le processus euro - méditerranéen l' éventualité que nous puissions mettre en marche actuellement , et plus encore aujourd'hui que sont convoquées des élections anticipées , un programme spécifique pour l' Algérie doté d' une certaine flexibilité en ce qui concerne son exécution . "
