,homograph,simalign_fr,fr-label,en,fr,inter_align
10,lead,exemple,lead_nou-vrb,"['Europe', 'must', 'indeed', 'take', 'the', 'lead', 'in', 'the', 'climate', 'debate', 'and', 'in', 'the', 'measures', 'to', 'be', 'taken', '.', '']","['', ""L'"", 'Europe', 'doit', 'en', 'effet', 'montrer', ""l'"", 'exemple', 'dans', 'le', 'débat', 'sur', 'le', 'climat', 'et', ""l'"", 'adoption', 'des', 'mesures', 'nécessaires', '.\n']","[(0, 2), (1, 3), (2, 5), (3, 6), (4, 7), (5, 8), (6, 9), (7, 10), (8, 14), (9, 11), (10, 15), (13, 19), (16, 20), (17, 21)]"
12,lives,vie,lives_nou,"['As', 'the', 'European', 'strategy', 'underlines', ',', 'conflicts', 'in', 'which', 'weapons', 'of', 'this', 'kind', 'are', 'by', 'far', 'the', 'principal', 'instrument', 'have', 'cost', 'the', 'lives', 'of', 'nearly', '4', 'million', 'people', 'since', '1990', 'and', 'have', 'forced', 'more', 'than', '18', 'million', 'others', 'to', 'leave', 'their', 'homes', 'or', 'their', 'countries', '.', '']","['', 'Comme', 'le', 'souligne', 'la', 'stratégie', 'européenne', ',', 'les', 'conflits', 'dans', 'lesquels', 'ce', 'type', 'd’', 'armes', 'était', 'de', 'loin', 'l’', 'instrument', 'principal', ',', 'ont', ',', 'depuis', '1990', ',', 'coûté', 'la', 'vie', 'à', 'près', 'de', 'quatre', 'millions', 'de', 'personnes', 'et', 'ont', 'obligé', 'plus', 'de', 'dix-huit', 'millions', 'd’', 'autres', 'à', 'quitter', 'leur', 'foyer', 'ou', 'leur', 'pays', '.\n']","[(0, 1), (1, 4), (2, 6), (3, 5), (4, 3), (5, 7), (6, 9), (7, 10), (8, 11), (9, 15), (10, 14), (11, 12), (12, 13), (13, 16), (14, 17), (15, 18), (16, 19), (17, 21), (18, 20), (19, 23), (20, 28), (21, 29), (22, 30), (23, 31), (24, 32), (25, 34), (26, 35), (27, 37), (28, 25), (29, 26), (30, 38), (31, 39), (32, 40), (33, 41), (34, 42), (35, 43), (36, 44), (37, 46), (38, 47), (39, 48), (40, 49), (41, 50), (42, 51), (43, 52), (44, 53), (45, 54)]"
13,use,utilise,use_vrb,"['I', 'use', 'simple', 'sentences', 'and', 'give', 'the', 'written', 'text', 'in', 'advance', ',', 'so', 'that', 'I', 'can', 'be', 'sure', 'my', 'message', 'gets', 'through', '.', '']","['', ""J'"", 'utilise', 'des', 'phrases', 'simples', 'et', 'transmets', 'le', 'texte', 'écrit', 'à', ""l'"", 'avance', ',', 'pour', 'être', 'sûr', 'de', 'bien', 'faire', 'passer', 'mon', 'message', '.\n']","[(0, 1), (1, 2), (2, 5), (3, 4), (4, 6), (5, 7), (6, 8), (7, 10), (8, 9), (9, 11), (10, 13), (11, 14), (12, 15), (16, 16), (17, 17), (18, 22), (19, 23), (20, 20), (21, 21), (22, 24)]"
15,live,vivre,live_vrb,"['Only', 'by', 'strengthening', 'areas', 'such', 'as', 'science', 'and', 'innovation', ',', 'and', 'by', 'contributing', 'to', 'economic', 'growth', 'and', 'to', 'more', 'and', 'better', 'jobs', ',', 'can', 'we', 'make', 'Europe', 'a', 'more', 'attractive', 'place', 'to', 'live', 'and', 'work', '.', '']","['', 'Ce', ""n'"", 'est', ""qu'"", 'en', 'renforçant', 'des', 'domaines', 'comme', 'la', 'science', 'et', ""l'"", 'innovation', 'et', 'en', 'contribuant', 'à', 'la', 'croissance', 'économique', 'et', 'à', 'la', 'création', ""d'"", 'emplois', 'plus', 'nombreux', 'et', 'de', 'qualité', 'que', ""l'"", 'on', 'peut', 'rendre', ""l'"", 'Europe', 'plus', 'agréable', 'pour', 'vivre', 'et', 'travailler', '.\n']","[(0, 4), (1, 5), (2, 6), (3, 8), (4, 9), (6, 11), (7, 12), (8, 14), (10, 15), (11, 16), (12, 17), (13, 18), (14, 21), (15, 20), (16, 22), (17, 23), (21, 27), (23, 36), (24, 35), (25, 37), (26, 39), (28, 40), (29, 41), (31, 42), (32, 43), (33, 44), (34, 45), (35, 46)]"
16,invite,invite,invite_vrb,"['If', 'so', ',', 'I', 'invite', 'them', 'to', 'do', 'so', 'now', '.', '']","['', 'Si', 'tel', 'est', 'le', 'cas', ',', 'je', 'les', 'invite', 'à', 'le', 'faire', 'maintenant', '.\n']","[(0, 1), (1, 2), (2, 6), (3, 7), (4, 9), (5, 8), (6, 10), (7, 12), (9, 13), (10, 14)]"
17,present,aujourd’hui,present_adj-nou,"['According', 'to', 'the', 'Commission', ',', 'protection', 'is', 'given', 'to', 'the', 'areas', 'around', 'Madeira', ',', 'the', 'Azores', 'and', 'the', 'Canaries', ',', 'outermost', 'archipelagos', 'where', 'the', 'traditional', 'fishing', 'methods', 'that', 'have', 'been', 'used', 'for', 'centuries', 'up', 'to', 'the', 'present', 'day', 'have', 'made', 'it', 'possible', 'not', 'only', 'to', 'preserve', 'species', 'but', 'also', 'to', 'maintain', 'thriving', 'fishing', 'communities', '.', '']","['', 'Selon', 'la', 'Commission', ',', 'une', 'protection', 'existe', 'dans', 'les', 'eaux', 'baignant', 'Madère', ',', 'les', 'Açores', 'et', 'les', 'Canaries', ',', 'des', 'archipels', 'ultrapériphériques', 'où', 'les', 'méthodes', 'traditionnelles', 'de', 'pêche', 'utilisées', 'depuis', 'des', 'siècles', 'jusqu’', 'à', 'aujourd’hui', 'ont', 'permis', 'de', 'préserver', 'non', 'seulement', 'les', 'espèces', ',', 'mais', 'aussi', 'des', 'communautés', 'de', 'pêche', 'florissantes', '.\n']","[(0, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 7), (8, 8), (9, 9), (13, 13), (15, 15), (16, 16), (17, 17), (18, 18), (19, 19), (21, 21), (22, 23), (23, 24), (24, 26), (25, 28), (26, 25), (30, 29), (31, 30), (32, 32), (33, 33), (34, 34), (36, 35), (37, 35), (38, 36), (39, 37), (42, 40), (43, 41), (44, 38), (45, 39), (46, 43), (47, 45), (48, 46), (51, 51), (52, 50), (53, 48), (54, 52)]"
18,reading,lecture,reading_en,"['I', 'also', 'want', 'to', 'thank', 'you', 'for', 'having', 'presented', 'your', 'preliminary', 'draft', 'earlier', 'than', 'expected', ',', 'which', 'means', 'we', 'can', 'work', 'on', 'the', 'budget', 'ahead', 'of', 'schedule', 'this', 'year', '.', 'This', 'will', 'allow', 'us', 'to', 'hold', 'three', '-', 'way', 'talks', 'with', 'the', 'Council', 'on', '17', 'July', ',', 'instead', 'of', 'at', 'the', 'end', 'of', 'that', 'month', ',', 'and', 'means', 'that', 'this', 'Parliament', 'and', 'the', 'relevant', 'committees', 'do', 'not', 'have', 'to', 'panic', 'about', 'the', 'first', 'reading', '.', '']","['', 'Je', 'tiens', 'également', 'à', 'le', 'remercier', 'pour', 'avoir', 'fait', 'en', 'sorte', 'que', 'cette', 'année', 'nous', 'puissions', 'travailler', 'sur', 'le', 'budget', 'plus', 'tôt', 'que', 'prévu', ',', 'car', 'vous', 'avez', 'présenté', 'votre', 'avantprojet', 'avant', 'la', 'date', 'prévue', ',', 'ce', 'qui', 'permettra', ""d'"", 'établir', 'un', 'dialogue', 'tripartite', 'avec', 'le', 'Conseil', 'le', '17', 'juillet', ',', 'au', 'lieu', 'de', 'fin', 'juillet', ',', 'et', 'permettra', 'à', ""l'"", 'Assemblée', 'et', 'aux', 'commissions', 'compétentes', 'de', 'travailler', 'tranquillement', 'en', 'vue', 'de', 'la', 'première', 'lecture', '.\n']","[(0, 1), (1, 3), (2, 2), (3, 4), (4, 6), (6, 7), (7, 8), (8, 29), (9, 30), (12, 22), (13, 23), (14, 24), (15, 36), (16, 37), (17, 26), (18, 15), (19, 16), (20, 17), (21, 18), (22, 19), (23, 20), (24, 32), (27, 13), (28, 14), (31, 39), (32, 39), (34, 40), (35, 41), (36, 44), (39, 43), (40, 45), (41, 46), (42, 47), (43, 48), (44, 49), (45, 50), (46, 51), (47, 53), (48, 54), (51, 55), (55, 57), (56, 58), (58, 12), (60, 62), (61, 63), (62, 61), (64, 65), (71, 73), (72, 74), (73, 75), (74, 76)]"
19,present,actuel,present_adj-nou,"['At', 'the', 'moment', ',', 'under', 'our', 'present', 'system', ',', 'what', 'happens', 'is', 'that', 'shortly', 'before', 'the', 'vote', 'takes', 'place', 'all', 'the', 'coordinators', 'in', 'the', 'various', 'groups', 'look', 'at', 'the', 'ingenious', 'proposals', 'of', 'their', 'colleagues', 'from', 'the', 'other', 'groups', 'and', 'then', 'they', 'ask', 'themselves', ':', 'can', 'we', 'vote', 'on', 'the', 'first', 'three', 'words', 'of', 'Amendment', 'No', '3', ',', 'let', 'us', 'abstain', 'on', 'the', 'next', 'three', 'words', 'and', 'then', 'we', 'will', 'not', 'participate', 'in', 'the', 'vote', 'on', 'the', 'last', 'three', 'words', '.', '']","['', 'Conformément', 'au', 'système', 'actuel', ',', 'peu', 'de', 'temps', 'avant', 'le', 'vote', ',', 'les', 'coordinateurs', 'des', 'différents', 'groupes', 'considèrent', 'les', 'propositions', 'ingénieuses', 'de', 'leurs', 'collègues', ""d'"", 'autres', 'groupes', 'et', 'se', 'demandent', ""s'"", 'ils', 'peuvent', 'voter', 'sur', 'les', 'trois', 'premiers', 'mots', 'de', ""l'"", 'amendement', '3', ',', 'ou', ""s'"", 'ils', 'doivent', ""s'"", 'abstenir', 'sur', 'les', 'trois', 'mots', 'suivants', 'et', 'ne', 'pas', 'participer', 'au', 'vote', 'sur', 'les', 'trois', 'derniers', 'mots', '.\n']","[(3, 5), (4, 1), (6, 4), (7, 3), (8, 12), (13, 6), (14, 9), (15, 10), (16, 11), (20, 13), (21, 14), (22, 15), (24, 16), (25, 17), (26, 18), (28, 19), (29, 21), (30, 20), (31, 22), (32, 23), (33, 24), (35, 25), (36, 26), (37, 27), (38, 28), (40, 32), (41, 30), (44, 31), (46, 34), (47, 35), (48, 36), (49, 38), (50, 37), (51, 39), (52, 40), (54, 42), (55, 43), (56, 44), (59, 50), (60, 51), (61, 52), (62, 55), (63, 53), (64, 54), (65, 56), (68, 48), (69, 58), (70, 59), (71, 60), (73, 61), (74, 62), (75, 63), (76, 65), (77, 64), (78, 66), (79, 67)]"
20,lives,progrès,lives_nou,"['It', 'is', 'a', 'particularly', 'promising', 'area', 'of', 'technology', 'and', 'represents', 'a', 'potentially', 'positive', 'trend', 'that', 'may', 'dramatically', 'increase', 'the', 'likelihood', 'of', 'progress', 'in', 'many', 'areas', 'of', 'our', 'lives', '.', '']","['', 'C’', 'est', 'un', 'domaine', 'technologique', 'particulièrement', 'prometteur', ',', 'une', 'tendance', 'potentiellement', 'positive', 'qui', 'pourrait', 'augmenter', 'spectaculairement', 'la', 'probabilité', 'de', 'progrès', 'dans', 'de', 'nombreux', 'secteurs', 'd’', 'activités', '.\n']","[(1, 2), (2, 3), (3, 6), (4, 7), (5, 4), (7, 5), (11, 11), (12, 12), (13, 10), (14, 13), (15, 14), (16, 16), (17, 15), (18, 17), (19, 18), (20, 19), (21, 20), (22, 21), (23, 23), (24, 24), (28, 27)]"
21,reading,lire,reading_en,"['These', 'rules', ',', 'set', 'out', 'in', 'Rule', '9(4', ')', 'of', 'the', 'Rules', 'of', 'Procedure', '-', 'which', 'would', 'be', 'worth', 'reading', 'at', 'least', 'once', '!', '-', 'stipulate', 'that', 'access', 'to', 'the', 'European', 'Parliament', 'for', 'lobbyists', 'is', 'controlled', ',', 'regulated', 'by', 'access', 'badges', '.', '']","['', 'Ces', 'règles', ',', 'reprises', 'sous', ""l'"", 'article', '9', ',', 'paragraphe', '4', ',', 'du', 'règlement', '-', 'il', 'faudrait', 'peut-être', 'le', 'lire', 'une', 'fois', '!', '-', 'stipulent', 'que', ""l'"", 'accès', 'au', 'Parlement', 'européen', 'pour', 'les', 'lobbyistes', 'est', 'contrôlé', ',', 'réglementé', 'par', 'des', 'badges', ""d'"", 'accès', '.\n']","[(0, 1), (1, 2), (2, 3), (3, 4), (5, 5), (6, 7), (7, 8), (7, 9), (7, 11), (8, 12), (9, 13), (11, 14), (12, 42), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (19, 20), (22, 22), (23, 23), (24, 24), (25, 25), (26, 26), (27, 28), (28, 29), (30, 31), (31, 30), (32, 32), (33, 34), (34, 35), (35, 36), (36, 37), (37, 38), (38, 39), (39, 43), (40, 41), (41, 44)]"
22,present,présence,present_adj-nou,"['The', ""'"", 'no', ""'"", 'side', 'was', 'not', 'allowed', 'to', 'be', 'present', 'at', 'Berlin', ',', 'London', 'or', 'Paris', '.', '']","['', 'La', 'présence', 'des', 'opposants', ""n'"", 'a', 'pas', 'été', 'autorisée', 'à', 'Berlin', ',', 'à', 'Londres', 'ou', 'à', 'Paris', '.\n']","[(0, 1), (4, 4), (5, 8), (6, 7), (7, 9), (10, 2), (11, 10), (12, 11), (13, 12), (14, 14), (15, 15), (16, 17), (17, 18)]"
23,reading,lecture,reading_en,"['This', 'morning', 'we', 'quite', 'rightly', 'resumed', 'the', 'procedure', 'during', 'first', 'reading', 'and', 'we', 'repeated', 'Parliament', ""'s"", 'position', 'from', 'the', 'previous', 'first', 'reading', '.', '']","['', 'Ce', 'matin', ',', 'nous', 'avons', ',', 'à', 'juste', 'titre', ',', 'repris', 'la', 'procédure', 'en', 'première', 'lecture', 'et', 'nous', 'avons', 'répété', ',', 'en', 'première', 'lecture', ',', 'cet', 'avis', 'que', 'le', 'Parlement', 'a', 'adopté', 'au', 'cours', 'de', 'la', 'première', 'lecture', 'précédente', '.\n']","[(0, 1), (1, 2), (2, 4), (4, 8), (4, 9), (5, 11), (6, 12), (7, 13), (8, 14), (9, 15), (10, 16), (11, 17), (12, 18), (14, 30), (16, 27), (18, 36), (19, 39), (20, 37), (21, 38), (22, 40)]"
25,lead,entraînent,lead_nou-vrb,"['It', 'is', 'also', 'important', ',', 'however', ',', 'to', 'ensure', 'that', 'these', 'mechanisms', 'do', 'not', 'impose', 'an', 'unnecessary', 'burden', 'on', 'enterprises', ',', 'especially', 'SMEs', ',', 'and', 'that', 'they', 'do', 'not', 'lead', 'to', 'the', 'creation', 'of', 'additional', 'ineffective', 'Community', 'provisions', '.', '']","['', 'Il', 'importe', 'aussi', 'toutefois', 'de', 'garantir', 'que', 'ces', 'mécanismes', ""n'"", 'imposent', 'pas', 'une', 'charge', 'superflue', 'pour', 'les', 'entreprises', ',', 'en', 'particulier', 'les', 'PME', ',', 'et', ""qu'"", 'ils', ""n'"", 'entraînent', 'pas', 'la', 'création', 'de', 'nouvelles', 'dispositions', 'communautaires', 'inefficaces', '.\n']","[(0, 1), (1, 2), (2, 3), (5, 4), (7, 5), (8, 6), (9, 7), (10, 8), (11, 9), (12, 10), (13, 12), (14, 11), (15, 13), (17, 14), (18, 16), (19, 18), (20, 19), (21, 21), (22, 23), (23, 24), (24, 25), (25, 26), (26, 27), (27, 28), (28, 30), (29, 29), (31, 31), (32, 32), (33, 33), (34, 34), (35, 37), (36, 36), (37, 35), (38, 38)]"
26,reading,lecture,reading_en,"['We', 'hope', 'that', 'the', 'package', 'will', 'be', 'adopted', 'at', 'second', 'reading', '.', '']","['', 'Nous', 'espérons', 'que', 'ce', 'paquet', 'sera', 'adopté', 'en', 'deuxième', 'lecture', '.\n']","[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 11)]"
27,lead,générer,lead_nou-vrb,"['They', 'are', 'therefore', 'unlikely', 'to', 'lead', 'to', 'any', 'sort', 'of', 'crisis', 'or', 'cause', 'major', 'concern', '.', '']","['', 'Elles', 'ne', 'sont', 'donc', 'pas', 'susceptibles', 'de', 'générer', 'une', 'situation', 'dramatique', 'ou', 'une', 'situation', 'fort', 'préoccupante', '.\n']","[(0, 1), (1, 3), (2, 4), (3, 6), (4, 7), (5, 8), (7, 9), (10, 10), (11, 12), (12, 13), (14, 16), (15, 17)]"
28,lead,initiative,lead_nou-vrb,"['The', 'United', 'Nations', 'wrings', 'its', 'hands', ',', 'the', 'EU', 'has', 'stood', 'back', ',', 'but', 'South', 'Africa', '–', 'the', 'model', 'of', 'peaceful', 'ethnic', 'resolution', '–', 'surely', 'should', 'take', 'the', 'lead', '.', '']","['', 'Les', 'Nations', 'unies', 'se', 'tordent', 'les', 'mains', ',', 'l’', 'UE', 'se', 'tient', 'à', 'l’', 'écart', ',', 'mais', 'l’', 'Afrique', 'du', 'Sud', '\xa0', '-', 'un', 'modèle', 'de', 'résolution', 'pacifique', 'des', 'conflits', 'ethniques', '\xa0', '-', 'devrait', 'sûrement', 'prendre', 'l’', 'initiative', '.\n']","[(0, 1), (2, 2), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9), (8, 10), (9, 12), (11, 15), (12, 16), (13, 17), (15, 19), (16, 18), (17, 24), (18, 25), (19, 26), (20, 28), (21, 31), (22, 27), (23, 37), (24, 35), (25, 34), (26, 36), (27, 37), (28, 38), (29, 39)]"
29,present,actuelle,present_adj-nou,"['These', 'kinds', 'of', 'issues', 'are', 'under', 'consideration', 'at', 'the', 'present', 'time', ',', 'but', 'it', 'is', 'too', 'early', 'to', 'go', 'into', 'more', 'detail', '.', '']","['', 'De', 'telles', 'réflexions', 'sont', 'menées', 'à', ""l'"", 'heure', 'actuelle', 'mais', 'il', 'est', 'trop', 'tôt', 'pour', 'en', 'dire', 'plus', '.\n']","[(0, 2), (3, 3), (4, 4), (6, 5), (7, 6), (8, 7), (9, 9), (12, 10), (13, 11), (14, 12), (15, 13), (16, 14), (17, 15), (18, 17), (20, 18), (22, 19)]"
